cache_path,clip_length,dtype,duration_sec,frame_count,height,label,label_name,merged_filename,preprocess_type,runtime_label_access,sample_fps,sha256,source_dataset,source_video,split,video_id,width
wholeframe_rgb_t50_224/samples/movies2_movies2_001084_c74b760f4d94.pt,50,uint8,3.72,30,224,1,violence,movies2_001084.mp4,wholeframe,forbidden,8.0,b4fd45e5ae6ec38ac073ec9001c4de262dbff7216f2b673e4cc96ff9ff48c4b9,movies2,data\merged\videos\violence\movies2_001084.mp4,test,movies2_movies2_001084_c74b760f4d94,224
wholeframe_rgb_t50_224/samples/violent_flows_violent_flows_001609_66c9e5fd8131.pt,50,uint8,4.536,36,224,1,violence,violent_flows_001609.avi,wholeframe,forbidden,8.0,be6ebee6009173427ec1a1e2618f2e195b29badcc9ef815aef1a7dd380f52664,violent_flows,data\merged\videos\violence\violent_flows_001609.avi,test,violent_flows_violent_flows_001609_66c9e5fd8131,224
wholeframe_rgb_t50_224/samples/surv_fight_surv_fight_001932_e94feb100e9c.pt,50,uint8,2.391633,19,224,1,violence,surv_fight_001932.mp4,wholeframe,forbidden,8.0,891e4ba4693d071629ce4e24f96b7f5a23f1296278de4a1921fdefaab3c36bfc,surv_fight,data\merged\videos\violence\surv_fight_001932.mp4,test,surv_fight_surv_fight_001932_e94feb100e9c,224
wholeframe_rgb_t50_224/samples/movies2_movies2_000661_3c6959890252.pt,50,uint8,3.604104,29,224,1,violence,movies2_000661.mp4,wholeframe,forbidden,8.0,a7b44b13adfcdb0dc0ee109b0f9f587267ff77cb2cfe727b3ad73975822d67a7,movies2,data\merged\videos\violence\movies2_000661.mp4,test,movies2_movies2_000661_3c6959890252,224
wholeframe_rgb_t50_224/samples/movies2_movies2_001094_ee13b1d8617a.pt,50,uint8,5.005283,40,224,1,violence,movies2_001094.mp4,wholeframe,forbidden,8.0,ad0ce0d44cbf726a9a7ab8e826ed1ca8d41bef829fb95fddaf1e8f755b8d68e3,movies2,data\merged\videos\violence\movies2_001094.mp4,test,movies2_movies2_001094_ee13b1d8617a,224
wholeframe_rgb_t50_224/samples/hockey_hockey_000092_aded3135dd5e.pt,50,uint8,1.64,13,224,1,violence,hockey_000092.avi,wholeframe,forbidden,8.0,78cb70315c8cd6c2edca3c21f3518fbd7e70ae8a1192b949aeaea129f9c9c5ed,hockey,data\merged\videos\violence\hockey_000092.avi,test,hockey_hockey_000092_aded3135dd5e,224
wholeframe_rgb_t50_224/samples/hockey_hockey_000165_63cf76640466.pt,50,uint8,1.64,13,224,1,violence,hockey_000165.avi,wholeframe,forbidden,8.0,2aa8d1f2e159f7821f3c23f3c987f9ecc1b8b3469eab26f7dac5287fd1301e10,hockey,data\merged\videos\violence\hockey_000165.avi,test,hockey_hockey_000165_63cf76640466,224
wholeframe_rgb_t50_224/samples/movies2_movies2_001301_9da3251b8674.pt,50,uint8,5.217279,42,224,1,violence,movies2_001301.mp4,wholeframe,forbidden,8.0,808c1dbda4a9a32d1b83d58327d761be457bc98d3ba48683d066d6e04540bedf,movies2,data\merged\videos\violence\movies2_001301.mp4,test,movies2_movies2_001301_9da3251b8674,224
wholeframe_rgb_t50_224/samples/movies2_movies2_001063_d4eb00afd47b.pt,50,uint8,5.0,40,224,1,violence,movies2_001063.mp4,wholeframe,forbidden,8.0,6175cdd82839dcc390d652f13170e02166c7a4564add89ecb82bff40baf30841,movies2,data\merged\videos\violence\movies2_001063.mp4,test,movies2_movies2_001063_d4eb00afd47b,224
wholeframe_rgb_t50_224/samples/rwf2000_rwf2000_001842_326737859dea.pt,50,uint8,6.066667,49,224,1,violence,rwf2000_001842.mp4,wholeframe,forbidden,8.0,0684045fe9353edeaa035b1d7a51bcc35ae7542907f2863eec768a92cebf89b9,rwf2000,data\merged\videos\violence\rwf2000_001842.mp4,test,rwf2000_rwf2000_001842_326737859dea,224
