cache_path,clip_length,dtype,duration_sec,frame_count,height,label,label_name,merged_filename,preprocess_type,runtime_label_access,sample_fps,sha256,source_dataset,source_video,split,video_id,width
wholeframe_rgb_t50_224/samples/rwf2000_rwf2000_001804_1cccf28ae058.pt,50,uint8,11.233333,50,224,1,violence,rwf2000_001804.mp4,wholeframe,forbidden,8.0,56c62a5aa08eae850ed0f0716830c415594f440d9b9d4d3784c4502736ef6079,rwf2000,data\merged\videos\violence\rwf2000_001804.mp4,test,rwf2000_rwf2000_001804_1cccf28ae058,224
wholeframe_rgb_t50_224/samples/movies2_movies2_001268_824e75508ed9.pt,50,uint8,5.0,40,224,0,non_violence,movies2_001268.mp4,wholeframe,forbidden,8.0,8f0a51e409c2c919756c4fbfe92cd49194e8878b288b62e9d60a700083905368,movies2,data\merged\videos\non_violence\movies2_001268.mp4,test,movies2_movies2_001268_824e75508ed9,224
wholeframe_rgb_t50_224/samples/movies2_movies2_001153_277816d0cda9.pt,50,uint8,3.808073,30,224,0,non_violence,movies2_001153.mp4,wholeframe,forbidden,8.0,c40c7c357f3a2cd635c53232a84da85bf70f5df2924f5c9dc9b4348a6af49da2,movies2,data\merged\videos\non_violence\movies2_001153.mp4,test,movies2_movies2_001153_277816d0cda9,224
wholeframe_rgb_t50_224/samples/hockey_hockey_000054_df736a7a8b0e.pt,50,uint8,1.64,13,224,0,non_violence,hockey_000054.avi,wholeframe,forbidden,8.0,e4e4bb5504c65957a821575bd6ea13b7b77a5306d4cb9382781ff927744e54a3,hockey,data\merged\videos\non_violence\hockey_000054.avi,test,hockey_hockey_000054_df736a7a8b0e,224
wholeframe_rgb_t50_224/samples/movies2_movies2_000752_f3eff719f181.pt,50,uint8,5.130125,41,224,0,non_violence,movies2_000752.mp4,wholeframe,forbidden,8.0,7a8540533d731f72bf8e961ea5184481941fc29a3459b1cd89758d9eb1522402,movies2,data\merged\videos\non_violence\movies2_000752.mp4,test,movies2_movies2_000752_f3eff719f181,224
wholeframe_rgb_t50_224/samples/movies2_movies2_001298_2f62a50c7dea.pt,50,uint8,5.0,40,224,0,non_violence,movies2_001298.mp4,wholeframe,forbidden,8.0,b13f267091971d1e1aca012055ba0af2db197f140a26d89f881800247078b40f,movies2,data\merged\videos\non_violence\movies2_001298.mp4,test,movies2_movies2_001298_2f62a50c7dea,224
wholeframe_rgb_t50_224/samples/movies2_movies2_001372_3f8e1db781bf.pt,50,uint8,5.0,40,224,0,non_violence,movies2_001372.mp4,wholeframe,forbidden,8.0,92f0d455b5bac43fbba006032adb59608f9daa3af41ece3cf2b08cef1e90f9aa,movies2,data\merged\videos\non_violence\movies2_001372.mp4,test,movies2_movies2_001372_3f8e1db781bf,224
wholeframe_rgb_t50_224/samples/hockey_hockey_000276_af455e28f09e.pt,50,uint8,1.64,13,224,1,violence,hockey_000276.avi,wholeframe,forbidden,8.0,cad8839e34e18755dd55d552b63df615f78d3b411abf8b300f8276be14fdb909,hockey,data\merged\videos\violence\hockey_000276.avi,test,hockey_hockey_000276_af455e28f09e,224
wholeframe_rgb_t50_224/samples/movies2_movies2_000646_c229c8ca303e.pt,50,uint8,5.0,40,224,0,non_violence,movies2_000646.mp4,wholeframe,forbidden,8.0,8c7418ca4ec793569416dc6ec5ce97332b66a7c8b95d9829334bef0edfcc1fc1,movies2,data\merged\videos\non_violence\movies2_000646.mp4,test,movies2_movies2_000646_c229c8ca303e,224
wholeframe_rgb_t50_224/samples/rwf2000_rwf2000_001812_a16cac098298.pt,50,uint8,5.6,45,224,1,violence,rwf2000_001812.mp4,wholeframe,forbidden,8.0,8232923b7b1a05b5b6080aa786a5dae6dba676990d32b50b0f5d4abc56e9362a,rwf2000,data\merged\videos\violence\rwf2000_001812.mp4,test,rwf2000_rwf2000_001812_a16cac098298,224
